127.0.0.1 - - [10/May/2019:11:39:26 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [10/May/2019:11:39:27 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [10/May/2019:11:41:17 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [10/May/2019:11:41:18 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:11:41:18 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:11:42:49 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [10/May/2019:11:42:50 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:20 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:21 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:21 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:39 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:39 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:39 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:39 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:57 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:57 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:57 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:57 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:57 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:57 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:58 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [10/May/2019:11:43:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:11:45:01 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 368
